benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
lenet_b,plain,-,-,12300.046,12300.046,0.000,0.000%,-,-,0,0,0,-,0,0,0,0
lenet_b,aia-kd,-,-,12300.046,12670.285,370.239,3.010%,1393.705,11.331%,0,0,0,-,0,947469,93,16
lenet_b,iommu_e8_m100ns,8,100,12300.046,13707.436,1407.390,11.442%,29897.960,243.072%,957049,941964,15085,98.4238%,82,0,0,0
lenet_b,iommu_e8_m250ns,8,250,12300.046,15960.544,3660.498,29.760%,47799.920,388.616%,957846,942810,15036,98.4302%,82,0,0,0
lenet_b,iommu_e8_m500ns,8,500,12300.046,19741.462,7441.416,60.499%,78000.190,634.146%,957947,942861,15086,98.4252%,82,0,0,0
lenet_b,iommu_e8_m1000ns,8,1000,12300.046,27284.654,14984.608,121.826%,138103.300,1122.787%,957950,942864,15086,98.4252%,82,0,0,0
lenet_b,iommu_e16_m100ns,16,100,12300.046,12889.335,589.289,4.791%,20472.020,166.439%,953353,947440,5913,99.3798%,82,0,0,0
lenet_b,iommu_e16_m250ns,16,250,12300.046,13775.133,1475.087,11.993%,24092.410,195.873%,953415,947502,5913,99.3798%,82,0,0,0
lenet_b,iommu_e16_m500ns,16,500,12300.046,15254.439,2954.393,24.019%,30125.750,244.924%,953469,947556,5913,99.3798%,82,0,0,0
lenet_b,iommu_e16_m1000ns,16,1000,12300.046,18211.066,5911.020,48.057%,42190.850,343.014%,953472,947559,5913,99.3798%,82,0,0,0
lenet_b,iommu_e32_m100ns,32,100,12300.046,12862.377,562.331,4.572%,20373.010,165.634%,953205,947534,5671,99.4051%,82,0,0,0
lenet_b,iommu_e32_m250ns,32,250,12300.046,13713.935,1413.889,11.495%,23843.500,193.849%,953325,947654,5671,99.4051%,82,0,0,0
lenet_b,iommu_e32_m500ns,32,500,12300.046,15131.657,2831.611,23.021%,29623.930,240.844%,953323,947652,5671,99.4051%,82,0,0,0
lenet_b,iommu_e32_m1000ns,32,1000,12300.046,17967.439,5667.393,46.076%,41187.020,334.853%,953326,947655,5671,99.4051%,82,0,0,0
lenet_b,iommu_e64_m100ns,64,100,12300.046,12306.792,6.746,0.055%,18166.200,147.692%,950919,950835,84,99.9912%,82,0,0,0
lenet_b,iommu_e64_m250ns,64,250,12300.046,12319.922,19.876,0.162%,18285.940,148.666%,950919,950835,84,99.9912%,82,0,0,0
lenet_b,iommu_e64_m500ns,64,500,12300.046,12340.725,40.679,0.331%,18483.390,150.271%,950918,950834,84,99.9912%,82,0,0,0
lenet_b,iommu_e64_m1000ns,64,1000,12300.046,12383.377,83.331,0.677%,18880.450,153.499%,950921,950837,84,99.9912%,82,0,0,0
lenet_b,iommu_e256_m100ns,256,100,12300.046,12306.792,6.746,0.055%,18166.000,147.691%,950919,950837,82,99.9914%,82,0,0,0
lenet_b,iommu_e256_m250ns,256,250,12300.046,12319.181,19.135,0.156%,18285.440,148.662%,950919,950837,82,99.9914%,82,0,0,0
lenet_b,iommu_e256_m500ns,256,500,12300.046,12340.542,40.496,0.329%,18482.390,150.263%,950918,950836,82,99.9914%,82,0,0,0
lenet_b,iommu_e256_m1000ns,256,1000,12300.046,12381.962,81.916,0.666%,18878.460,153.483%,950921,950839,82,99.9914%,82,0,0,0
lenet_b,iommu_e2048_m100ns,2048,100,12300.046,12306.792,6.746,0.055%,18166.000,147.691%,950919,950837,82,99.9914%,82,0,0,0
lenet_b,iommu_e2048_m250ns,2048,250,12300.046,12319.181,19.135,0.156%,18285.440,148.662%,950919,950837,82,99.9914%,82,0,0,0
lenet_b,iommu_e2048_m500ns,2048,500,12300.046,12340.542,40.496,0.329%,18482.390,150.263%,950918,950836,82,99.9914%,82,0,0,0
lenet_b,iommu_e2048_m1000ns,2048,1000,12300.046,12381.962,81.916,0.666%,18878.460,153.483%,950921,950839,82,99.9914%,82,0,0,0
