benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
md_grid,plain,-,-,5283.149,5283.149,0.000,0.000%,-,-,0,0,0,-,0,0,0,0
md_grid,aia-kd,-,-,5283.149,5630.721,347.572,6.579%,443.451,8.394%,0,0,0,-,0,119905,20,12
md_grid,iommu_e8_m100ns,8,100,5283.149,5286.199,3.050,0.058%,481.548,9.115%,119776,119758,18,99.9850%,16,0,0,0
md_grid,iommu_e8_m250ns,8,250,5283.149,5289.302,6.153,0.116%,486.350,9.206%,119777,119759,18,99.9850%,16,0,0,0
md_grid,iommu_e8_m500ns,8,500,5283.149,5293.985,10.836,0.205%,494.358,9.357%,119779,119761,18,99.9850%,16,0,0,0
md_grid,iommu_e8_m1000ns,8,1000,5283.149,5302.752,19.603,0.371%,510.354,9.660%,119778,119760,18,99.9850%,16,0,0,0
md_grid,iommu_e16_m100ns,16,100,5283.149,5286.199,3.050,0.058%,481.352,9.111%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e16_m250ns,16,250,5283.149,5288.220,5.071,0.096%,485.852,9.196%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e16_m500ns,16,500,5283.149,5291.594,8.445,0.160%,493.360,9.338%,119778,119762,16,99.9866%,16,0,0,0
md_grid,iommu_e16_m1000ns,16,1000,5283.149,5300.574,17.425,0.330%,508.356,9.622%,119777,119761,16,99.9866%,16,0,0,0
md_grid,iommu_e32_m100ns,32,100,5283.149,5286.199,3.050,0.058%,481.352,9.111%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e32_m250ns,32,250,5283.149,5288.220,5.071,0.096%,485.852,9.196%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e32_m500ns,32,500,5283.149,5291.594,8.445,0.160%,493.360,9.338%,119778,119762,16,99.9866%,16,0,0,0
md_grid,iommu_e32_m1000ns,32,1000,5283.149,5300.574,17.425,0.330%,508.356,9.622%,119777,119761,16,99.9866%,16,0,0,0
md_grid,iommu_e64_m100ns,64,100,5283.149,5286.199,3.050,0.058%,481.352,9.111%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e64_m250ns,64,250,5283.149,5288.220,5.071,0.096%,485.852,9.196%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e64_m500ns,64,500,5283.149,5291.594,8.445,0.160%,493.360,9.338%,119778,119762,16,99.9866%,16,0,0,0
md_grid,iommu_e64_m1000ns,64,1000,5283.149,5300.574,17.425,0.330%,508.356,9.622%,119777,119761,16,99.9866%,16,0,0,0
md_grid,iommu_e256_m100ns,256,100,5283.149,5286.199,3.050,0.058%,481.352,9.111%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e256_m250ns,256,250,5283.149,5288.220,5.071,0.096%,485.852,9.196%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e256_m500ns,256,500,5283.149,5291.594,8.445,0.160%,493.360,9.338%,119778,119762,16,99.9866%,16,0,0,0
md_grid,iommu_e256_m1000ns,256,1000,5283.149,5300.574,17.425,0.330%,508.356,9.622%,119777,119761,16,99.9866%,16,0,0,0
md_grid,iommu_e2048_m100ns,2048,100,5283.149,5286.199,3.050,0.058%,481.352,9.111%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e2048_m250ns,2048,250,5283.149,5288.220,5.071,0.096%,485.852,9.196%,119776,119760,16,99.9866%,16,0,0,0
md_grid,iommu_e2048_m500ns,2048,500,5283.149,5291.594,8.445,0.160%,493.360,9.338%,119778,119762,16,99.9866%,16,0,0,0
md_grid,iommu_e2048_m1000ns,2048,1000,5283.149,5300.574,17.425,0.330%,508.356,9.622%,119777,119761,16,99.9866%,16,0,0,0
