mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e16_m500ns	5291594000	5291.594	8.445	0.160	5784.954	9.498
iommu_e64_m250ns	5288220000	5288.220	5.071	0.096	5774.072	9.292
iommu_e256_m250ns	5288220000	5288.220	5.071	0.096	5774.072	9.292
iommu_e32_m500ns	5291594000	5291.594	8.445	0.160	5784.954	9.498
iommu_e32_m100ns	5286199000	5286.199	3.050	0.058	5767.551	9.169
aia-kd	5630721000	5630.721	347.572	6.579	6074.172	14.973
iommu_e16_m250ns	5288220000	5288.220	5.071	0.096	5774.072	9.292
iommu_e8_m100ns	5286199000	5286.199	3.050	0.058	5767.747	9.173
iommu_e8_m250ns	5289302000	5289.302	6.153	0.116	5775.652	9.322
iommu_e8_m1000ns	5302752000	5302.752	19.603	0.371	5813.106	10.031
plain	5283149000	5283.149	0.000	0.000	5283.149	0.000
iommu_e256_m1000ns	5300574000	5300.574	17.425	0.330	5808.930	9.952
iommu_e64_m1000ns	5300574000	5300.574	17.425	0.330	5808.930	9.952
iommu_e16_m1000ns	5300574000	5300.574	17.425	0.330	5808.930	9.952
iommu_e2048_m100ns	5286199000	5286.199	3.050	0.058	5767.551	9.169
iommu_e2048_m250ns	5288220000	5288.220	5.071	0.096	5774.072	9.292
iommu_e32_m250ns	5288220000	5288.220	5.071	0.096	5774.072	9.292
iommu_e64_m100ns	5286199000	5286.199	3.050	0.058	5767.551	9.169
iommu_e2048_m1000ns	5300574000	5300.574	17.425	0.330	5808.930	9.952
iommu_e32_m1000ns	5300574000	5300.574	17.425	0.330	5808.930	9.952
iommu_e64_m500ns	5291594000	5291.594	8.445	0.160	5784.954	9.498
iommu_e256_m100ns	5286199000	5286.199	3.050	0.058	5767.551	9.169
iommu_e16_m100ns	5286199000	5286.199	3.050	0.058	5767.551	9.169
iommu_e8_m500ns	5293985000	5293.985	10.836	0.205	5788.343	9.562
iommu_e256_m500ns	5291594000	5291.594	8.445	0.160	5784.954	9.498
iommu_e2048_m500ns	5291594000	5291.594	8.445	0.160	5784.954	9.498
