mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
plain	5283.149	5283149000	0.005283	4764.1	0.000	-	0	0	0	-	0	0	0	0
aia-kd	5630.721	5630721000	0.005631	5111.81	443.451	-	0	0	0	-	0	119905	20	12
iommu_e8_m100ns	5286.199	5286199000	0.005286	4767.34	0.000	481.548	119776	119758	18	99.9850	16	0	0	0
iommu_e8_m250ns	5289.302	5289302000	0.005289	4770.05	0.000	486.350	119777	119759	18	99.9850	16	0	0	0
iommu_e8_m500ns	5293.985	5293985000	0.005294	4774.92	0.000	494.358	119779	119761	18	99.9850	16	0	0	0
iommu_e8_m1000ns	5302.752	5302752000	0.005303	4783.61	0.000	510.354	119778	119760	18	99.9850	16	0	0	0
iommu_e16_m100ns	5286.199	5286199000	0.005286	4767.16	0.000	481.352	119776	119760	16	99.9866	16	0	0	0
iommu_e16_m250ns	5288.220	5288220000	0.005288	4769.54	0.000	485.852	119776	119760	16	99.9866	16	0	0	0
iommu_e16_m500ns	5291.594	5291594000	0.005292	4773.91	0.000	493.360	119778	119762	16	99.9866	16	0	0	0
iommu_e16_m1000ns	5300.574	5300574000	0.005301	4781.61	0.000	508.356	119777	119761	16	99.9866	16	0	0	0
iommu_e32_m100ns	5286.199	5286199000	0.005286	4767.16	0.000	481.352	119776	119760	16	99.9866	16	0	0	0
iommu_e32_m250ns	5288.220	5288220000	0.005288	4769.54	0.000	485.852	119776	119760	16	99.9866	16	0	0	0
iommu_e32_m500ns	5291.594	5291594000	0.005292	4773.91	0.000	493.360	119778	119762	16	99.9866	16	0	0	0
iommu_e32_m1000ns	5300.574	5300574000	0.005301	4781.61	0.000	508.356	119777	119761	16	99.9866	16	0	0	0
iommu_e64_m100ns	5286.199	5286199000	0.005286	4767.16	0.000	481.352	119776	119760	16	99.9866	16	0	0	0
iommu_e64_m250ns	5288.220	5288220000	0.005288	4769.54	0.000	485.852	119776	119760	16	99.9866	16	0	0	0
iommu_e64_m500ns	5291.594	5291594000	0.005292	4773.91	0.000	493.360	119778	119762	16	99.9866	16	0	0	0
iommu_e64_m1000ns	5300.574	5300574000	0.005301	4781.61	0.000	508.356	119777	119761	16	99.9866	16	0	0	0
iommu_e256_m100ns	5286.199	5286199000	0.005286	4767.16	0.000	481.352	119776	119760	16	99.9866	16	0	0	0
iommu_e256_m250ns	5288.220	5288220000	0.005288	4769.54	0.000	485.852	119776	119760	16	99.9866	16	0	0	0
iommu_e256_m500ns	5291.594	5291594000	0.005292	4773.91	0.000	493.360	119778	119762	16	99.9866	16	0	0	0
iommu_e256_m1000ns	5300.574	5300574000	0.005301	4781.61	0.000	508.356	119777	119761	16	99.9866	16	0	0	0
iommu_e2048_m100ns	5286.199	5286199000	0.005286	4767.16	0.000	481.352	119776	119760	16	99.9866	16	0	0	0
iommu_e2048_m250ns	5288.220	5288220000	0.005288	4769.54	0.000	485.852	119776	119760	16	99.9866	16	0	0	0
iommu_e2048_m500ns	5291.594	5291594000	0.005292	4773.91	0.000	493.360	119778	119762	16	99.9866	16	0	0	0
iommu_e2048_m1000ns	5300.574	5300574000	0.005301	4781.61	0.000	508.356	119777	119761	16	99.9866	16	0	0	0
