
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003631                       # Number of seconds simulated (Second)
simTicks                                   3631455000                       # Number of ticks simulated (Tick)
finalTick                                  3632587000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     24.41                       # Real time elapsed on the host (Second)
hostTickRate                                148788416                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4672300                       # Number of bytes of host memory used (Byte)
simInsts                                       126646                       # Number of instructions simulated (Count)
simOps                                         126960                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     5189                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       5202                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   3632587000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON   3632587000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED   3632587000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION   3632587000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF   3632587000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7262910                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          133677                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        5                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         920087                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     12                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6769                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             10648                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5231301                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.175881                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.766852                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                   4904639     93.76%     93.76% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                    114119      2.18%     95.94% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                     15890      0.30%     96.24% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                     12844      0.25%     96.49% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                    183444      3.51%     99.99% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                       327      0.01%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                        28      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                         3      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                         7      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total               5231301                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass              166241      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  166241      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 166241      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                  166241      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                166241      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                166241      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                166241      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               166241      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc            166241      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                166241      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc               166241      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt               166241      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                 166241      1.89%     24.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc              166241      1.89%     26.42% # attempts to use FU when none available (Count)
