benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
mergesort	plain	-	-	3438.219	3438.219	0.000	0.000%	-	-	0	0	0	-	0	0	0	0
mergesort	aia-kd	-	-	3438.219	3631.591	193.372	5.624%	209.175	6.084%	0	0	0	-	0	120497	13	8
mergesort	iommu_e8_m100ns	8	100	3438.219	3440.997	2.778	0.081%	483.722	14.069%	120632	120623	9	99.9925%	9	0	0	0
mergesort	iommu_e8_m250ns	8	250	3438.219	3442.828	4.609	0.134%	486.126	14.139%	120633	120624	9	99.9925%	9	0	0	0
mergesort	iommu_e8_m500ns	8	500	3438.219	3445.692	7.473	0.217%	490.134	14.255%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e8_m1000ns	8	1000	3438.219	3448.858	10.639	0.309%	498.134	14.488%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e16_m100ns	16	100	3438.219	3440.997	2.778	0.081%	483.722	14.069%	120632	120623	9	99.9925%	9	0	0	0
mergesort	iommu_e16_m250ns	16	250	3438.219	3442.828	4.609	0.134%	486.126	14.139%	120633	120624	9	99.9925%	9	0	0	0
mergesort	iommu_e16_m500ns	16	500	3438.219	3445.692	7.473	0.217%	490.134	14.255%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e16_m1000ns	16	1000	3438.219	3448.858	10.639	0.309%	498.134	14.488%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e32_m100ns	32	100	3438.219	3440.997	2.778	0.081%	483.722	14.069%	120632	120623	9	99.9925%	9	0	0	0
mergesort	iommu_e32_m250ns	32	250	3438.219	3442.828	4.609	0.134%	486.126	14.139%	120633	120624	9	99.9925%	9	0	0	0
mergesort	iommu_e32_m500ns	32	500	3438.219	3445.692	7.473	0.217%	490.134	14.255%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e32_m1000ns	32	1000	3438.219	3448.858	10.639	0.309%	498.134	14.488%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e64_m100ns	64	100	3438.219	3440.997	2.778	0.081%	483.722	14.069%	120632	120623	9	99.9925%	9	0	0	0
mergesort	iommu_e64_m250ns	64	250	3438.219	3442.828	4.609	0.134%	486.126	14.139%	120633	120624	9	99.9925%	9	0	0	0
mergesort	iommu_e64_m500ns	64	500	3438.219	3445.692	7.473	0.217%	490.134	14.255%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e64_m1000ns	64	1000	3438.219	3448.858	10.639	0.309%	498.134	14.488%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e256_m100ns	256	100	3438.219	3440.997	2.778	0.081%	483.722	14.069%	120632	120623	9	99.9925%	9	0	0	0
mergesort	iommu_e256_m250ns	256	250	3438.219	3442.828	4.609	0.134%	486.126	14.139%	120633	120624	9	99.9925%	9	0	0	0
mergesort	iommu_e256_m500ns	256	500	3438.219	3445.692	7.473	0.217%	490.134	14.255%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e256_m1000ns	256	1000	3438.219	3448.858	10.639	0.309%	498.134	14.488%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e2048_m100ns	2048	100	3438.219	3440.997	2.778	0.081%	483.722	14.069%	120632	120623	9	99.9925%	9	0	0	0
mergesort	iommu_e2048_m250ns	2048	250	3438.219	3442.828	4.609	0.134%	486.126	14.139%	120633	120624	9	99.9925%	9	0	0	0
mergesort	iommu_e2048_m500ns	2048	500	3438.219	3445.692	7.473	0.217%	490.134	14.255%	120635	120626	9	99.9925%	9	0	0	0
mergesort	iommu_e2048_m1000ns	2048	1000	3438.219	3448.858	10.639	0.309%	498.134	14.488%	120635	120626	9	99.9925%	9	0	0	0
