mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
plain,3438.219,3438219000,0.003438,1082.22,0.000,-,0,0,0,-,0,0,0,0
aia-kd,3631.591,3631591000,0.003632,1275.42,209.175,-,0,0,0,-,0,120497,13,8
iommu_e8_m100ns,3440.997,3440997000,0.003441,1083.33,0.000,483.722,120632,120623,9,99.9925,9,0,0,0
iommu_e8_m250ns,3442.828,3442828000,0.003443,1084.71,0.000,486.126,120633,120624,9,99.9925,9,0,0,0
iommu_e8_m500ns,3445.692,3445692000,0.003446,1087.33,0.000,490.134,120635,120626,9,99.9925,9,0,0,0
iommu_e8_m1000ns,3448.858,3448858000,0.003449,1091.85,0.000,498.134,120635,120626,9,99.9925,9,0,0,0
iommu_e16_m100ns,3440.997,3440997000,0.003441,1083.33,0.000,483.722,120632,120623,9,99.9925,9,0,0,0
iommu_e16_m250ns,3442.828,3442828000,0.003443,1084.71,0.000,486.126,120633,120624,9,99.9925,9,0,0,0
iommu_e16_m500ns,3445.692,3445692000,0.003446,1087.33,0.000,490.134,120635,120626,9,99.9925,9,0,0,0
iommu_e16_m1000ns,3448.858,3448858000,0.003449,1091.85,0.000,498.134,120635,120626,9,99.9925,9,0,0,0
iommu_e32_m100ns,3440.997,3440997000,0.003441,1083.33,0.000,483.722,120632,120623,9,99.9925,9,0,0,0
iommu_e32_m250ns,3442.828,3442828000,0.003443,1084.71,0.000,486.126,120633,120624,9,99.9925,9,0,0,0
iommu_e32_m500ns,3445.692,3445692000,0.003446,1087.33,0.000,490.134,120635,120626,9,99.9925,9,0,0,0
iommu_e32_m1000ns,3448.858,3448858000,0.003449,1091.85,0.000,498.134,120635,120626,9,99.9925,9,0,0,0
iommu_e64_m100ns,3440.997,3440997000,0.003441,1083.33,0.000,483.722,120632,120623,9,99.9925,9,0,0,0
iommu_e64_m250ns,3442.828,3442828000,0.003443,1084.71,0.000,486.126,120633,120624,9,99.9925,9,0,0,0
iommu_e64_m500ns,3445.692,3445692000,0.003446,1087.33,0.000,490.134,120635,120626,9,99.9925,9,0,0,0
iommu_e64_m1000ns,3448.858,3448858000,0.003449,1091.85,0.000,498.134,120635,120626,9,99.9925,9,0,0,0
iommu_e256_m100ns,3440.997,3440997000,0.003441,1083.33,0.000,483.722,120632,120623,9,99.9925,9,0,0,0
iommu_e256_m250ns,3442.828,3442828000,0.003443,1084.71,0.000,486.126,120633,120624,9,99.9925,9,0,0,0
iommu_e256_m500ns,3445.692,3445692000,0.003446,1087.33,0.000,490.134,120635,120626,9,99.9925,9,0,0,0
iommu_e256_m1000ns,3448.858,3448858000,0.003449,1091.85,0.000,498.134,120635,120626,9,99.9925,9,0,0,0
iommu_e2048_m100ns,3440.997,3440997000,0.003441,1083.33,0.000,483.722,120632,120623,9,99.9925,9,0,0,0
iommu_e2048_m250ns,3442.828,3442828000,0.003443,1084.71,0.000,486.126,120633,120624,9,99.9925,9,0,0,0
iommu_e2048_m500ns,3445.692,3445692000,0.003446,1087.33,0.000,490.134,120635,120626,9,99.9925,9,0,0,0
iommu_e2048_m1000ns,3448.858,3448858000,0.003449,1091.85,0.000,498.134,120635,120626,9,99.9925,9,0,0,0
