benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
mobilenetv2,plain,-,-,25503.018,25503.018,0.000,0.000%,-,-,0,0,0,-,0,0,0,0
mobilenetv2,aia-kd,-,-,25503.018,77746.468,52243.450,204.852%,910566.074,3570.425%,0,0,0,-,0,330878480,12420,11870
mobilenetv2,iommu_e8_m100ns,8,100,25503.018,260928.989,235425.971,923.130%,13333976.386,52283.916%,44896532,43255488,1641044,96.3448%,747,0,0,0
mobilenetv2,iommu_e8_m250ns,8,250,25503.018,508860.695,483357.677,1895.296%,28747245.108,112720.954%,44882561,43237449,1645112,96.3346%,747,0,0,0
mobilenetv2,iommu_e8_m500ns,8,500,25503.018,920064.471,894561.453,3507.669%,54391366.890,213274.236%,44879256,43234727,1644529,96.3357%,747,0,0,0
mobilenetv2,iommu_e8_m1000ns,8,1000,25503.018,1742416.155,1716913.137,6732.196%,105694391.538,414438.760%,44895472,43250931,1644541,96.3370%,747,0,0,0
mobilenetv2,iommu_e16_m100ns,16,100,25503.018,101680.245,76177.227,298.699%,3282313.258,12870.293%,44776275,44775152,1123,99.9975%,747,0,0,0
mobilenetv2,iommu_e16_m250ns,16,250,25503.018,101870.792,76367.774,299.446%,3285081.040,12881.146%,44766242,44765119,1123,99.9975%,747,0,0,0
mobilenetv2,iommu_e16_m500ns,16,500,25503.018,102093.896,76590.878,300.321%,3289457.250,12898.306%,44766870,44765747,1123,99.9975%,747,0,0,0
mobilenetv2,iommu_e16_m1000ns,16,1000,25503.018,102640.458,77137.440,302.464%,3298302.182,12932.988%,44765691,44764568,1123,99.9975%,747,0,0,0
mobilenetv2,iommu_e32_m100ns,32,100,25503.018,101621.407,76118.389,298.468%,3280948.346,12864.941%,44765883,44765136,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e32_m250ns,32,250,25503.018,101662.082,76159.064,298.628%,3281700.608,12867.891%,44769855,44769108,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e32_m500ns,32,500,25503.018,101961.537,76458.519,299.802%,3282859.134,12872.434%,44771749,44771002,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e32_m1000ns,32,1000,25503.018,102302.454,76799.436,301.139%,3285153.158,12881.429%,44769773,44769026,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e64_m100ns,64,100,25503.018,101621.407,76118.389,298.468%,3280948.346,12864.941%,44765883,44765136,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e64_m250ns,64,250,25503.018,101662.082,76159.064,298.628%,3281700.608,12867.891%,44769855,44769108,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e64_m500ns,64,500,25503.018,101961.537,76458.519,299.802%,3282859.134,12872.434%,44771749,44771002,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e64_m1000ns,64,1000,25503.018,102302.454,76799.436,301.139%,3285153.158,12881.429%,44769773,44769026,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e256_m100ns,256,100,25503.018,101621.407,76118.389,298.468%,3280948.346,12864.941%,44765883,44765136,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e256_m250ns,256,250,25503.018,101662.082,76159.064,298.628%,3281700.608,12867.891%,44769855,44769108,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e256_m500ns,256,500,25503.018,101961.537,76458.519,299.802%,3282859.134,12872.434%,44771749,44771002,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e256_m1000ns,256,1000,25503.018,102302.454,76799.436,301.139%,3285153.158,12881.429%,44769773,44769026,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e2048_m100ns,2048,100,25503.018,101621.407,76118.389,298.468%,3280948.346,12864.941%,44765883,44765136,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e2048_m250ns,2048,250,25503.018,101662.082,76159.064,298.628%,3281700.608,12867.891%,44769855,44769108,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e2048_m500ns,2048,500,25503.018,101961.537,76458.519,299.802%,3282859.134,12872.434%,44771749,44771002,747,99.9983%,747,0,0,0
mobilenetv2,iommu_e2048_m1000ns,2048,1000,25503.018,102302.454,76799.436,301.139%,3285153.158,12881.429%,44769773,44769026,747,99.9983%,747,0,0,0
