mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
aia-kd,77746468000,77746.468,52243.450,204.852,988312.542,3775.277
plain,25503018000,25503.018,0.000,0.000,25503.018,0.000
iommu_e256_m500ns,101961537000,101961.537,76458.519,299.802,3384820.671,13172.236
iommu_e256_m100ns,101621407000,101621.407,76118.389,298.468,3382569.753,13163.410
iommu_e2048_m100ns,101621407000,101621.407,76118.389,298.468,3382569.753,13163.410
iommu_e16_m100ns,101680245000,101680.245,76177.227,298.699,3383993.503,13168.992
iommu_e16_m1000ns,102640458000,102640.458,77137.440,302.464,3400942.640,13235.452
iommu_e256_m250ns,101662082000,101662.082,76159.064,298.628,3383362.690,13166.519
iommu_e64_m250ns,101662082000,101662.082,76159.064,298.628,3383362.690,13166.519
iommu_e64_m100ns,101621407000,101621.407,76118.389,298.468,3382569.753,13163.410
iommu_e32_m100ns,101621407000,101621.407,76118.389,298.468,3382569.753,13163.410
iommu_e2048_m500ns,101961537000,101961.537,76458.519,299.802,3384820.671,13172.236
iommu_e16_m500ns,102093896000,102093.896,76590.878,300.321,3391551.146,13198.627
iommu_e256_m1000ns,102302454000,102302.454,76799.436,301.139,3387455.612,13182.568
iommu_e64_m1000ns,102302454000,102302.454,76799.436,301.139,3387455.612,13182.568
iommu_e32_m500ns,101961537000,101961.537,76458.519,299.802,3384820.671,13172.236
iommu_e2048_m250ns,101662082000,101662.082,76159.064,298.628,3383362.690,13166.519
iommu_e64_m500ns,101961537000,101961.537,76458.519,299.802,3384820.671,13172.236
iommu_e32_m1000ns,102302454000,102302.454,76799.436,301.139,3387455.612,13182.568
iommu_e2048_m1000ns,102302454000,102302.454,76799.436,301.139,3387455.612,13182.568
iommu_e16_m250ns,101870792000,101870.792,76367.774,299.446,3386951.832,13180.592
iommu_e32_m250ns,101662082000,101662.082,76159.064,298.628,3383362.690,13166.519
iommu_e8_m100ns,260928989000,260928.989,235425.971,923.130,13594905.375,53207.045
iommu_e8_m250ns,508860695000,508860.695,483357.677,1895.296,29256105.803,114616.250
iommu_e8_m500ns,920064471000,920064.471,894561.453,3507.669,55311431.361,216781.905
iommu_e8_m1000ns,1742416155000,1742416.155,1716913.137,6732.196,107436807.693,421170.956
