benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
mobilenetv2_35,plain,-,-,25503.018,25503.018,0.000,0.000%,-,-,0,0,0,-,0,0,0,0
mobilenetv2_35,aia-kd,-,-,25503.018,77679.501,52176.483,204.589%,919030.523,3603.615%,0,0,0,-,0,330897261,12355,11870
mobilenetv2_35,iommu_e8_m100ns,8,100,25503.018,102121.459,76618.441,300.429%,3315860.880,13001.837%,44764696,44757292,7404,99.9835%,743,0,0,0
mobilenetv2_35,iommu_e8_m250ns,8,250,25503.018,103438.665,77935.647,305.594%,3368261.092,13207.304%,44772391,44765144,7247,99.9838%,743,0,0,0
mobilenetv2_35,iommu_e8_m500ns,8,500,25503.018,105147.974,79644.956,312.296%,3461488.370,13572.858%,44775410,44767991,7419,99.9834%,743,0,0,0
mobilenetv2_35,iommu_e8_m1000ns,8,1000,25503.018,108718.774,83215.756,326.298%,3642585.802,14282.960%,44763858,44756450,7408,99.9835%,743,0,0,0
mobilenetv2_35,iommu_e16_m100ns,16,100,25503.018,101594.850,76091.832,298.364%,3281878.616,12868.589%,44761929,44760919,1010,99.9977%,743,0,0,0
mobilenetv2_35,iommu_e16_m250ns,16,250,25503.018,101830.584,76327.566,299.288%,3284071.504,12877.188%,44771630,44770620,1010,99.9977%,743,0,0,0
mobilenetv2_35,iommu_e16_m500ns,16,500,25503.018,101967.375,76464.357,299.825%,3287531.458,12890.755%,44765225,44764215,1010,99.9977%,743,0,0,0
mobilenetv2_35,iommu_e16_m1000ns,16,1000,25503.018,102513.468,77010.450,301.966%,3294631.416,12918.594%,44767612,44766602,1010,99.9977%,743,0,0,0
mobilenetv2_35,iommu_e32_m100ns,32,100,25503.018,101675.658,76172.640,298.681%,3280983.620,12865.080%,44766391,44765648,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e32_m250ns,32,250,25503.018,101802.476,76299.458,299.178%,3281659.528,12867.730%,44771902,44771159,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e32_m500ns,32,500,25503.018,101905.234,76402.216,299.581%,3282671.034,12871.696%,44765760,44765017,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e32_m1000ns,32,1000,25503.018,102256.527,76753.509,300.959%,3284814.894,12880.103%,44765373,44764630,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e64_m100ns,64,100,25503.018,101675.658,76172.640,298.681%,3280983.620,12865.080%,44766391,44765648,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e64_m250ns,64,250,25503.018,101802.476,76299.458,299.178%,3281659.528,12867.730%,44771902,44771159,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e64_m500ns,64,500,25503.018,101905.234,76402.216,299.581%,3282671.034,12871.696%,44765760,44765017,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e64_m1000ns,64,1000,25503.018,102256.527,76753.509,300.959%,3284814.894,12880.103%,44765373,44764630,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e256_m100ns,256,100,25503.018,101675.658,76172.640,298.681%,3280983.620,12865.080%,44766391,44765648,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e256_m250ns,256,250,25503.018,101802.476,76299.458,299.178%,3281659.528,12867.730%,44771902,44771159,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e256_m500ns,256,500,25503.018,101905.234,76402.216,299.581%,3282671.034,12871.696%,44765760,44765017,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e256_m1000ns,256,1000,25503.018,102256.527,76753.509,300.959%,3284814.894,12880.103%,44765373,44764630,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e2048_m100ns,2048,100,25503.018,101675.658,76172.640,298.681%,3280983.620,12865.080%,44766391,44765648,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e2048_m250ns,2048,250,25503.018,101802.476,76299.458,299.178%,3281659.528,12867.730%,44771902,44771159,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e2048_m500ns,2048,500,25503.018,101905.234,76402.216,299.581%,3282671.034,12871.696%,44765760,44765017,743,99.9983%,743,0,0,0
mobilenetv2_35,iommu_e2048_m1000ns,2048,1000,25503.018,102256.527,76753.509,300.959%,3284814.894,12880.103%,44765373,44764630,743,99.9983%,743,0,0,0
