benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
mobilenetv2_75	plain	-	-	25503.018	25503.018	0.000	0.000%	-	-	0	0	0	-	0	0	0	0
mobilenetv2_75	aia-kd	-	-	25503.018	77703.499	52200.481	204.684%	921526.814	3613.403%	0	0	0	-	0	330900476	12385	11870
mobilenetv2_75	iommu_e8_m100ns	8	100	25503.018	159764.853	134261.835	526.455%	7100312.026	27841.066%	44769774	44164881	604893	98.6489%	745	0	0	0
mobilenetv2_75	iommu_e8_m250ns	8	250	25503.018	251853.326	226350.308	887.543%	13021125.360	51057.194%	44782079	44172468	609611	98.6387%	745	0	0	0
mobilenetv2_75	iommu_e8_m500ns	8	500	25503.018	403817.418	378314.400	1483.410%	22807168.452	89429.292%	44784719	44175906	608813	98.6406%	745	0	0	0
mobilenetv2_75	iommu_e8_m1000ns	8	1000	25503.018	708094.390	682591.372	2676.512%	42408246.426	166287.168%	44777265	44168472	608793	98.6404%	745	0	0	0
mobilenetv2_75	iommu_e16_m100ns	16	100	25503.018	101569.331	76066.313	298.264%	3282187.292	12869.800%	44769124	44768040	1084	99.9976%	745	0	0	0
mobilenetv2_75	iommu_e16_m250ns	16	250	25503.018	101886.387	76383.369	299.507%	3284926.010	12880.538%	44766125	44765041	1084	99.9976%	745	0	0	0
mobilenetv2_75	iommu_e16_m500ns	16	500	25503.018	102040.421	76537.403	300.111%	3289012.370	12896.561%	44762335	44761251	1084	99.9976%	745	0	0	0
mobilenetv2_75	iommu_e16_m1000ns	16	1000	25503.018	102554.177	77051.159	302.126%	3297535.982	12929.983%	44764869	44763785	1084	99.9976%	745	0	0	0
mobilenetv2_75	iommu_e32_m100ns	32	100	25503.018	101546.303	76043.285	298.174%	3280879.662	12864.672%	44756333	44755587	746	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e32_m250ns	32	250	25503.018	101603.447	76100.429	298.398%	3281591.112	12867.462%	44757580	44756834	746	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e32_m500ns	32	500	25503.018	101907.132	76404.114	299.589%	3282803.408	12872.215%	44774760	44774014	746	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e32_m1000ns	32	1000	25503.018	102258.315	76755.297	300.966%	3284962.342	12880.681%	44765137	44764391	746	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e64_m100ns	64	100	25503.018	101545.307	76042.289	298.170%	3280879.262	12864.671%	44756287	44755542	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e64_m250ns	64	250	25503.018	101603.198	76100.180	298.397%	3281590.512	12867.459%	44757580	44756835	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e64_m500ns	64	500	25503.018	101906.634	76403.616	299.587%	3282802.408	12872.211%	44774760	44774015	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e64_m1000ns	64	1000	25503.018	102257.319	76754.301	300.962%	3284960.342	12880.673%	44765137	44764392	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e256_m100ns	256	100	25503.018	101545.307	76042.289	298.170%	3280879.262	12864.671%	44756287	44755542	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e256_m250ns	256	250	25503.018	101603.198	76100.180	298.397%	3281590.512	12867.459%	44757580	44756835	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e256_m500ns	256	500	25503.018	101906.634	76403.616	299.587%	3282802.408	12872.211%	44774760	44774015	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e256_m1000ns	256	1000	25503.018	102257.319	76754.301	300.962%	3284960.342	12880.673%	44765137	44764392	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e2048_m100ns	2048	100	25503.018	101545.307	76042.289	298.170%	3280879.262	12864.671%	44756287	44755542	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e2048_m250ns	2048	250	25503.018	101603.198	76100.180	298.397%	3281590.512	12867.459%	44757580	44756835	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e2048_m500ns	2048	500	25503.018	101906.634	76403.616	299.587%	3282802.408	12872.211%	44774760	44774015	745	99.9983%	745	0	0	0
mobilenetv2_75	iommu_e2048_m1000ns	2048	1000	25503.018	102257.319	76754.301	300.962%	3284960.342	12880.673%	44765137	44764392	745	99.9983%	745	0	0	0
