mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e8_m100ns,1076305500,1076.305,7.786,0.729,1567.307,46.680
iommu_e16_m1000ns,1112041500,1112.042,43.522,4.073,1673.947,56.660
iommu_e16_m100ns,1076305500,1076.305,7.786,0.729,1567.111,46.662
iommu_e8_m500ns,1092610500,1092.611,24.091,2.255,1616.013,51.238
iommu_e16_m250ns,1082352500,1082.352,13.833,1.295,1585.008,48.337
iommu_e8_m250ns,1082352500,1082.352,13.833,1.295,1585.505,48.383
plain,1068519500,1068.520,0.000,0.000,1068.520,0.000
iommu_e16_m500ns,1091876500,1091.877,23.357,2.186,1614.283,51.077
iommu_e8_m1000ns,1113495500,1113.495,44.976,4.209,1677.398,56.983
iommu_e32_m100ns,1073710500,1073.710,5.191,0.486,1561.048,46.095
iommu_e32_m1000ns,1093943500,1093.944,25.424,2.379,1620.881,51.694
iommu_e32_m500ns,1082352500,1082.352,13.833,1.295,1587.291,48.550
aia-kd,1577007500,1577.007,508.488,47.588,2087.394,95.354
iommu_e256_m100ns,1073710500,1073.710,5.191,0.486,1561.048,46.095
iommu_e32_m250ns,1077039500,1077.040,8.520,0.797,1570.977,47.024
iommu_e64_m1000ns,1093943500,1093.944,25.424,2.379,1620.881,51.694
iommu_e2048_m250ns,1077039500,1077.040,8.520,0.797,1570.977,47.024
iommu_e256_m1000ns,1093943500,1093.944,25.424,2.379,1620.881,51.694
iommu_e64_m100ns,1073710500,1073.710,5.191,0.486,1561.048,46.095
iommu_e2048_m1000ns,1093943500,1093.944,25.424,2.379,1620.881,51.694
iommu_e2048_m500ns,1082352500,1082.352,13.833,1.295,1587.291,48.550
iommu_e2048_m100ns,1073710500,1073.710,5.191,0.486,1561.048,46.095
iommu_e256_m250ns,1077039500,1077.040,8.520,0.797,1570.977,47.024
iommu_e256_m500ns,1082352500,1082.352,13.833,1.295,1587.291,48.550
iommu_e64_m500ns,1082352500,1082.352,13.833,1.295,1587.291,48.550
iommu_e64_m250ns,1077039500,1077.040,8.520,0.797,1570.977,47.024
