benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
spmv,plain,-,-,1462.786,1462.786,0.000,0.000%,-,-,0,0,0,-,0,0,0,0
spmv,aia-kd,-,-,1462.786,1913.897,451.111,30.839%,493.653,33.747%,0,0,0,-,0,7520,28,20
spmv,iommu_e8_m100ns,8,100,1462.786,1464.854,2.068,0.141%,35.156,2.403%,8083,8066,17,99.7897%,16,0,0,0
spmv,iommu_e8_m250ns,8,250,1462.786,1467.452,4.666,0.319%,39.948,2.731%,8081,8064,17,99.7896%,16,0,0,0
spmv,iommu_e8_m500ns,8,500,1462.786,1471.518,8.732,0.597%,47.936,3.277%,8078,8061,17,99.7896%,16,0,0,0
spmv,iommu_e8_m1000ns,8,1000,1462.786,1480.425,17.639,1.206%,63.964,4.373%,8085,8068,17,99.7897%,16,0,0,0
spmv,iommu_e16_m100ns,16,100,1462.786,1465.312,2.526,0.173%,35.058,2.397%,8083,8067,16,99.8021%,16,0,0,0
spmv,iommu_e16_m250ns,16,250,1462.786,1467.452,4.666,0.319%,39.700,2.714%,8081,8065,16,99.8020%,16,0,0,0
spmv,iommu_e16_m500ns,16,500,1462.786,1470.896,8.110,0.554%,47.438,3.243%,8078,8062,16,99.8019%,16,0,0,0
spmv,iommu_e16_m1000ns,16,1000,1462.786,1479.304,16.518,1.129%,62.966,4.305%,8085,8069,16,99.8021%,16,0,0,0
spmv,iommu_e32_m100ns,32,100,1462.786,1465.312,2.526,0.173%,35.058,2.397%,8083,8067,16,99.8021%,16,0,0,0
spmv,iommu_e32_m250ns,32,250,1462.786,1467.452,4.666,0.319%,39.700,2.714%,8081,8065,16,99.8020%,16,0,0,0
spmv,iommu_e32_m500ns,32,500,1462.786,1470.896,8.110,0.554%,47.438,3.243%,8078,8062,16,99.8019%,16,0,0,0
spmv,iommu_e32_m1000ns,32,1000,1462.786,1479.304,16.518,1.129%,62.966,4.305%,8085,8069,16,99.8021%,16,0,0,0
spmv,iommu_e64_m100ns,64,100,1462.786,1465.312,2.526,0.173%,35.058,2.397%,8083,8067,16,99.8021%,16,0,0,0
spmv,iommu_e64_m250ns,64,250,1462.786,1467.452,4.666,0.319%,39.700,2.714%,8081,8065,16,99.8020%,16,0,0,0
spmv,iommu_e64_m500ns,64,500,1462.786,1470.896,8.110,0.554%,47.438,3.243%,8078,8062,16,99.8019%,16,0,0,0
spmv,iommu_e64_m1000ns,64,1000,1462.786,1479.304,16.518,1.129%,62.966,4.305%,8085,8069,16,99.8021%,16,0,0,0
spmv,iommu_e256_m100ns,256,100,1462.786,1465.312,2.526,0.173%,35.058,2.397%,8083,8067,16,99.8021%,16,0,0,0
spmv,iommu_e256_m250ns,256,250,1462.786,1467.452,4.666,0.319%,39.700,2.714%,8081,8065,16,99.8020%,16,0,0,0
spmv,iommu_e256_m500ns,256,500,1462.786,1470.896,8.110,0.554%,47.438,3.243%,8078,8062,16,99.8019%,16,0,0,0
spmv,iommu_e256_m1000ns,256,1000,1462.786,1479.304,16.518,1.129%,62.966,4.305%,8085,8069,16,99.8021%,16,0,0,0
spmv,iommu_e2048_m100ns,2048,100,1462.786,1465.312,2.526,0.173%,35.058,2.397%,8083,8067,16,99.8021%,16,0,0,0
spmv,iommu_e2048_m250ns,2048,250,1462.786,1467.452,4.666,0.319%,39.700,2.714%,8081,8065,16,99.8020%,16,0,0,0
spmv,iommu_e2048_m500ns,2048,500,1462.786,1470.896,8.110,0.554%,47.438,3.243%,8078,8062,16,99.8019%,16,0,0,0
spmv,iommu_e2048_m1000ns,2048,1000,1462.786,1479.304,16.518,1.129%,62.966,4.305%,8085,8069,16,99.8021%,16,0,0,0
