mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
plain	1462.786	1462786000	0.001463	120.62	0.000	-	0	0	0	-	0	0	0	0
aia-kd	1913.897	1913897000	0.001914	571.69	493.653	-	0	0	0	-	0	7520	28	20
iommu_e8_m100ns	1464.854	1464854000	0.001465	122.78	0.000	35.156	8083	8066	17	99.7897	16	0	0	0
iommu_e8_m250ns	1467.452	1467452000	0.001467	124.93	0.000	39.948	8081	8064	17	99.7896	16	0	0	0
iommu_e8_m500ns	1471.518	1471518000	0.001472	128.81	0.000	47.936	8078	8061	17	99.7896	16	0	0	0
iommu_e8_m1000ns	1480.425	1480425000	0.001480	138.29	0.000	63.964	8085	8068	17	99.7897	16	0	0	0
iommu_e16_m100ns	1465.312	1465312000	0.001465	122.69	0.000	35.058	8083	8067	16	99.8021	16	0	0	0
iommu_e16_m250ns	1467.452	1467452000	0.001467	124.69	0.000	39.700	8081	8065	16	99.8020	16	0	0	0
iommu_e16_m500ns	1470.896	1470896000	0.001471	128.32	0.000	47.438	8078	8062	16	99.8019	16	0	0	0
iommu_e16_m1000ns	1479.304	1479304000	0.001479	137.3	0.000	62.966	8085	8069	16	99.8021	16	0	0	0
iommu_e32_m100ns	1465.312	1465312000	0.001465	122.69	0.000	35.058	8083	8067	16	99.8021	16	0	0	0
iommu_e32_m250ns	1467.452	1467452000	0.001467	124.69	0.000	39.700	8081	8065	16	99.8020	16	0	0	0
iommu_e32_m500ns	1470.896	1470896000	0.001471	128.32	0.000	47.438	8078	8062	16	99.8019	16	0	0	0
iommu_e32_m1000ns	1479.304	1479304000	0.001479	137.3	0.000	62.966	8085	8069	16	99.8021	16	0	0	0
iommu_e64_m100ns	1465.312	1465312000	0.001465	122.69	0.000	35.058	8083	8067	16	99.8021	16	0	0	0
iommu_e64_m250ns	1467.452	1467452000	0.001467	124.69	0.000	39.700	8081	8065	16	99.8020	16	0	0	0
iommu_e64_m500ns	1470.896	1470896000	0.001471	128.32	0.000	47.438	8078	8062	16	99.8019	16	0	0	0
iommu_e64_m1000ns	1479.304	1479304000	0.001479	137.3	0.000	62.966	8085	8069	16	99.8021	16	0	0	0
iommu_e256_m100ns	1465.312	1465312000	0.001465	122.69	0.000	35.058	8083	8067	16	99.8021	16	0	0	0
iommu_e256_m250ns	1467.452	1467452000	0.001467	124.69	0.000	39.700	8081	8065	16	99.8020	16	0	0	0
iommu_e256_m500ns	1470.896	1470896000	0.001471	128.32	0.000	47.438	8078	8062	16	99.8019	16	0	0	0
iommu_e256_m1000ns	1479.304	1479304000	0.001479	137.3	0.000	62.966	8085	8069	16	99.8021	16	0	0	0
iommu_e2048_m100ns	1465.312	1465312000	0.001465	122.69	0.000	35.058	8083	8067	16	99.8021	16	0	0	0
iommu_e2048_m250ns	1467.452	1467452000	0.001467	124.69	0.000	39.700	8081	8065	16	99.8020	16	0	0	0
iommu_e2048_m500ns	1470.896	1470896000	0.001471	128.32	0.000	47.438	8078	8062	16	99.8019	16	0	0	0
iommu_e2048_m1000ns	1479.304	1479304000	0.001479	137.3	0.000	62.966	8085	8069	16	99.8021	16	0	0	0
