benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
stencil2d	plain	-	-	14058.821	14058.821	0.000	0.000%	-	-	0	0	0	-	0	0	0	0
stencil2d	aia-kd	-	-	14058.821	14392.760	333.939	2.375%	393.249	2.797%	0	0	0	-	0	157226	29	12
stencil2d	iommu_e8_m100ns	8	100	14058.821	14040.722	-18.099	-0.129%	812.974	5.783%	157255	156305	950	99.3959%	34	0	0	0
stencil2d	iommu_e8_m250ns	8	250	14058.821	14182.332	123.511	0.879%	1096.764	7.801%	157254	156304	950	99.3959%	34	0	0	0
stencil2d	iommu_e8_m500ns	8	500	14058.821	14421.516	362.695	2.580%	1569.768	11.166%	157255	156305	950	99.3959%	34	0	0	0
stencil2d	iommu_e8_m1000ns	8	1000	14058.821	14897.012	838.191	5.962%	2515.790	17.895%	157260	156310	950	99.3959%	34	0	0	0
stencil2d	iommu_e16_m100ns	16	100	14058.821	14040.722	-18.099	-0.129%	812.974	5.783%	157255	156305	950	99.3959%	34	0	0	0
stencil2d	iommu_e16_m250ns	16	250	14058.821	14182.332	123.511	0.879%	1096.764	7.801%	157254	156304	950	99.3959%	34	0	0	0
stencil2d	iommu_e16_m500ns	16	500	14058.821	14421.516	362.695	2.580%	1569.768	11.166%	157255	156305	950	99.3959%	34	0	0	0
stencil2d	iommu_e16_m1000ns	16	1000	14058.821	14897.012	838.191	5.962%	2515.790	17.895%	157260	156310	950	99.3959%	34	0	0	0
stencil2d	iommu_e32_m100ns	32	100	14058.821	13949.819	-109.002	-0.775%	632.130	4.496%	156928	156894	34	99.9783%	34	0	0	0
stencil2d	iommu_e32_m250ns	32	250	14058.821	13954.427	-104.394	-0.743%	641.120	4.560%	156927	156893	34	99.9783%	34	0	0	0
stencil2d	iommu_e32_m500ns	32	500	14058.821	13961.559	-97.262	-0.692%	656.124	4.667%	156928	156894	34	99.9783%	34	0	0	0
stencil2d	iommu_e32_m1000ns	32	1000	14058.821	13979.248	-79.573	-0.566%	686.144	4.881%	156933	156899	34	99.9783%	34	0	0	0
stencil2d	iommu_e64_m100ns	64	100	14058.821	13949.819	-109.002	-0.775%	632.130	4.496%	156928	156894	34	99.9783%	34	0	0	0
stencil2d	iommu_e64_m250ns	64	250	14058.821	13954.427	-104.394	-0.743%	641.120	4.560%	156927	156893	34	99.9783%	34	0	0	0
stencil2d	iommu_e64_m500ns	64	500	14058.821	13961.559	-97.262	-0.692%	656.124	4.667%	156928	156894	34	99.9783%	34	0	0	0
stencil2d	iommu_e64_m1000ns	64	1000	14058.821	13979.248	-79.573	-0.566%	686.144	4.881%	156933	156899	34	99.9783%	34	0	0	0
stencil2d	iommu_e256_m100ns	256	100	14058.821	13949.819	-109.002	-0.775%	632.130	4.496%	156928	156894	34	99.9783%	34	0	0	0
stencil2d	iommu_e256_m250ns	256	250	14058.821	13954.427	-104.394	-0.743%	641.120	4.560%	156927	156893	34	99.9783%	34	0	0	0
stencil2d	iommu_e256_m500ns	256	500	14058.821	13961.559	-97.262	-0.692%	656.124	4.667%	156928	156894	34	99.9783%	34	0	0	0
stencil2d	iommu_e256_m1000ns	256	1000	14058.821	13979.248	-79.573	-0.566%	686.144	4.881%	156933	156899	34	99.9783%	34	0	0	0
stencil2d	iommu_e2048_m100ns	2048	100	14058.821	13949.819	-109.002	-0.775%	632.130	4.496%	156928	156894	34	99.9783%	34	0	0	0
stencil2d	iommu_e2048_m250ns	2048	250	14058.821	13954.427	-104.394	-0.743%	641.120	4.560%	156927	156893	34	99.9783%	34	0	0	0
stencil2d	iommu_e2048_m500ns	2048	500	14058.821	13961.559	-97.262	-0.692%	656.124	4.667%	156928	156894	34	99.9783%	34	0	0	0
stencil2d	iommu_e2048_m1000ns	2048	1000	14058.821	13979.248	-79.573	-0.566%	686.144	4.881%	156933	156899	34	99.9783%	34	0	0	0
