mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e2048_m100ns,13949819000,13949.819,-109.002,-0.775,14581.949,3.721
iommu_e32_m100ns,13949819000,13949.819,-109.002,-0.775,14581.949,3.721
iommu_e16_m500ns,14421516000,14421.516,362.695,2.580,15991.284,13.746
iommu_e256_m250ns,13954427000,13954.427,-104.394,-0.743,14595.547,3.818
iommu_e8_m100ns,14040722000,14040.722,-18.099,-0.129,14853.696,5.654
iommu_e8_m500ns,14421516000,14421.516,362.695,2.580,15991.284,13.746
iommu_e8_m250ns,14182332000,14182.332,123.511,0.879,15279.096,8.680
iommu_e16_m100ns,14040722000,14040.722,-18.099,-0.129,14853.696,5.654
iommu_e32_m250ns,13954427000,13954.427,-104.394,-0.743,14595.547,3.818
iommu_e32_m500ns,13961559000,13961.559,-97.262,-0.692,14617.683,3.975
aia-kd,14392760000,14392.760,333.939,2.375,14786.009,5.172
iommu_e16_m250ns,14182332000,14182.332,123.511,0.879,15279.096,8.680
iommu_e256_m100ns,13949819000,13949.819,-109.002,-0.775,14581.949,3.721
iommu_e8_m1000ns,14897012000,14897.012,838.191,5.962,17412.802,23.857
iommu_e256_m1000ns,13979248000,13979.248,-79.573,-0.566,14665.392,4.315
iommu_e256_m500ns,13961559000,13961.559,-97.262,-0.692,14617.683,3.975
iommu_e64_m250ns,13954427000,13954.427,-104.394,-0.743,14595.547,3.818
iommu_e64_m100ns,13949819000,13949.819,-109.002,-0.775,14581.949,3.721
plain,14058821000,14058.821,0.000,0.000,14058.821,0.000
iommu_e2048_m1000ns,13979248000,13979.248,-79.573,-0.566,14665.392,4.315
iommu_e2048_m250ns,13954427000,13954.427,-104.394,-0.743,14595.547,3.818
iommu_e64_m1000ns,13979248000,13979.248,-79.573,-0.566,14665.392,4.315
iommu_e64_m500ns,13961559000,13961.559,-97.262,-0.692,14617.683,3.975
iommu_e32_m1000ns,13979248000,13979.248,-79.573,-0.566,14665.392,4.315
iommu_e16_m1000ns,14897012000,14897.012,838.191,5.962,17412.802,23.857
iommu_e2048_m500ns,13961559000,13961.559,-97.262,-0.692,14617.683,3.975
